ID_VIV,ID_HOG,UPM,VIV_SEL,HOGAR,RESUL_H,N_INF,R_SEL,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,TOT_PER,FAC_HOG,FAC_HOG_AM,DOMINIO,EST_DIS,UPM_DIS
1300600.04,1300600.04.01,1300600,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,340,340,U,225,5679
1300600.05,1300600.05.01,1300600,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,340,340,U,225,5679
1300622.01,1300622.01.01,1300622,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,506,506,U,225,5680
1300622.02,1300622.02.01,1300622,2,1,A,1,2,13,HIDALGO,48,PACHUCA DE SOTO,4,506,506,U,225,5680
1300622.03,1300622.03.01,1300622,3,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,506,506,U,225,5680
1300622.04,1300622.04.01,1300622,4,1,B,1,3,13,HIDALGO,48,PACHUCA DE SOTO,4,506,506,U,225,5680
1300622.05,1300622.05.01,1300622,5,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,506,506,U,225,5680
1300650.03,1300650.03.01,1300650,3,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,464,464,U,225,5681
1300650.03,1300650.03.02,1300650,3,2,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,464,464,U,225,5681
1300650.04,1300650.04.01,1300650,4,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,464,464,U,225,5681
1300650.05,1300650.05.01,1300650,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,464,464,U,225,5681
1300658.01,1300658.01.01,1300658,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,350,350,U,225,5682
1300658.02,1300658.02.01,1300658,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,350,350,U,225,5682
1300658.03,1300658.03.01,1300658,3,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,6,350,350,U,225,5682
1300658.04,1300658.04.01,1300658,4,1,B,2,3,13,HIDALGO,48,PACHUCA DE SOTO,5,350,350,U,225,5682
1300658.05,1300658.05.01,1300658,5,1,A,3,4,13,HIDALGO,48,PACHUCA DE SOTO,4,350,350,U,225,5682
1300365.04,1300365.04.01,1300365,4,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,4,313,313,U,223,5655
1300365.05,1300365.05.01,1300365,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,4,313,313,U,223,5655
1300366.01,1300366.01.01,1300366,1,1,B,4,3,13,HIDALGO,48,PACHUCA DE SOTO,5,312,312,U,223,5656
1300366.02,1300366.02.01,1300366,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,312,312,U,223,5656
1300366.03,1300366.03.01,1300366,3,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,4,312,312,U,223,5656
1300366.04,1300366.04.01,1300366,4,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,312,312,U,223,5656
1300389.01,1300389.01.01,1300389,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,279,279,U,224,5657
1300389.02,1300389.02.01,1300389,2,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,279,279,U,224,5657
1300389.03,1300389.03.01,1300389,3,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,6,279,279,U,224,5657
1300389.05,1300389.05.01,1300389,5,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,6,279,279,U,224,5657
1300390.01,1300390.01.01,1300390,1,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,315,315,U,224,5658
1300390.02,1300390.02.01,1300390,2,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,4,315,315,U,224,5658
1300390.03,1300390.03.01,1300390,3,1,B,3,2,13,HIDALGO,48,PACHUCA DE SOTO,5,315,315,U,224,5658
1300390.05,1300390.05.01,1300390,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,315,315,U,224,5658
1300398.01,1300398.01.01,1300398,1,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,274,274,U,223,5659
1300398.02,1300398.02.01,1300398,2,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,274,274,U,223,5659
1300398.03,1300398.03.01,1300398,3,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,274,274,U,223,5659
1300398.04,1300398.04.01,1300398,4,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,274,274,U,223,5659
1300398.05,1300398.05.01,1300398,5,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,4,274,274,U,223,5659
1300404.01,1300404.01.01,1300404,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,258,258,U,223,5660
1300404.02,1300404.02.01,1300404,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,258,258,U,223,5660
1300404.02,1300404.02.02,1300404,2,2,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,258,258,U,223,5660
1300404.02,1300404.02.03,1300404,2,3,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,258,258,U,223,5660
